Verb,Type,Base,Past,Frequency
act,Regular,akt,akted,M
age,Regular,Aj,Ajd,M
air,Regular,Ar,Ard,M
arise,Irregular,*rIz,*rOz,M
ask,Regular,ask,askt,M
back,Regular,bak,bakt,M
bear,Irregular,bAr,bor,M
beat,Irregular,bEt,bEt,M
become,Irregular,bEk*m,bEkAm,M
believe,Regular,b*lEv,b*lEvd,M
bend,Irregular,bend,bent,L
bid,Irregular,bid,bid,L
bleed,Irregular,blEd,bled,M
blow,Irregular,blO,blU,M
board,Regular,bord,borded,M
brake,Irregular,brAk,brOk,M
breed,Irregular,brEd,bred,L
bring,Irregular,briN,brot,M
brown,Regular,brWn,brWnd,L
build,Irregular,bild,bilt,M
buy,Irregular,bI,bot,M
call,Regular,kol,kold,M
carp,Regular,karp,karped,L
catch,Irregular,kaC,kot,L
center,Regular,senter,sentered,M
change,Regular,CAnj,CAnjd,M
choose,Irregular,Cuz,COz,M
class,Regular,klas,klast,M
clear,Regular,klEr,klErd,M
climb,Regular,klIm,klImd,M
cling,Irregular,kliN,klaN,L
close,Regular,klOz,klOzd,M
control,Regular,k*ntrOl,k*ntrOld,M
court,Regular,kort,korted,M
creep,Irregular,krEp,krept,L
cut,Irregular,kut,kut,M
deal,Irregular,dEl,delt,M
develop,Regular,d*vel*p,d*vel*pt,M
dig,Irregular,dig,d*g,L
do,Irregular,dU,did,M
drag,Irregular,jrag,jr*g,M
draw,Irregular,jro,jrU,M
drink,Irregular,driNk,draNk,M
drip,Regular,jrip,jript,L
drive,Irregular,jrIv,jrOv,M
effect,Regular,*fekt,*fekted,M
end,Regular,end,ended,M
experience,Regular,ekspErEens,ekspErEenst,M
face,Regular,fAs,fAst,M
fall,Irregular,fol,fel,M
feed,Irregular,fEd,fed,M
field,Regular,fEld,fElded,M
fight,Irregular,fIt,fot,M
figure,Regular,figer,figerd,M
find,Irregular,fInd,fWnd,M
fit,Irregular,fit,fit,M
flee,Irregular,flE,fled,M
fly,Irregular,flI,flU,M
force,Regular,fors,forst,M
form,Regular,form,formd,M
free,Regular,frE,frEd,M
freeze,Irregular,frEz,frOz,M
front,Regular,fr*nt,fr*nted,M
grind,Irregular,grInd,grWnd,L
